Date,Adj Close,R,Training,R.normed,X1,X2,X3,X4,X5,Y
07/07/2014,17024.21094,-0.002580745,1,0.453290119,0.483736388,0.464583471,0.560440516,0.49260706,0.536727867,0.453290119
08/07/2014,16906.61914,-0.006907327,1,0.408172051,0.464583471,0.560440516,0.49260706,0.536727867,0.453290119,0.408172051
09/07/2014,16985.60938,0.004672149,1,0.528924084,0.560440516,0.49260706,0.536727867,0.453290119,0.408172051,0.528924084
10/07/2014,16915.07031,-0.004152872,1,0.436895806,0.49260706,0.536727867,0.453290119,0.408172051,0.528924084,0.436895806
11/07/2014,16943.81055,0.001699091,1,0.497920713,0.536727867,0.453290119,0.408172051,0.528924084,0.436895806,0.497920713
14/07/2014,17055.41992,0.006587029,1,0.548892661,0.453290119,0.408172051,0.528924084,0.436895806,0.497920713,0.548892661
15/07/2014,17060.67969,0.000308393,1,0.483418364,0.408172051,0.528924084,0.436895806,0.497920713,0.548892661,0.483418364
16/07/2014,17138.19922,0.004543754,1,0.527585168,0.528924084,0.436895806,0.497920713,0.548892661,0.483418364,0.527585168
17/07/2014,16976.81055,-0.009416898,1,0.38200198,0.436895806,0.497920713,0.548892661,0.483418364,0.527585168,0.38200198
18/07/2014,17100.17969,0.007266921,1,0.555982649,0.497920713,0.548892661,0.483418364,0.527585168,0.38200198,0.555982649
21/07/2014,17051.73047,-0.002833258,1,0.450656889,0.548892661,0.483418364,0.527585168,0.38200198,0.555982649,0.450656889
22/07/2014,17113.53906,0.003624769,1,0.518001897,0.483418364,0.527585168,0.38200198,0.555982649,0.450656889,0.518001897
23/07/2014,17086.63086,-0.001572334,1,0.46380594,0.527585168,0.38200198,0.555982649,0.450656889,0.518001897,0.46380594
24/07/2014,17083.80078,-0.000165631,1,0.478475189,0.38200198,0.555982649,0.450656889,0.518001897,0.46380594,0.478475189
25/07/2014,16960.57031,-0.007213294,1,0.404981404,0.555982649,0.450656889,0.518001897,0.46380594,0.478475189,0.404981404
28/07/2014,16982.58984,0.001298278,1,0.49374099,0.450656889,0.518001897,0.46380594,0.478475189,0.404981404,0.49374099
29/07/2014,16912.10938,-0.00415016,1,0.436924095,0.518001897,0.46380594,0.478475189,0.404981404,0.49374099,0.436924095
30/07/2014,16880.35938,-0.001877353,1,0.460625169,0.46380594,0.478475189,0.404981404,0.49374099,0.436924095,0.460625169
31/07/2014,16563.30078,-0.018782693,1,0.284334458,0.478475189,0.404981404,0.49374099,0.436924095,0.460625169,0.284334458
01/08/2014,16493.36914,-0.004222084,1,0.436174065,0.404981404,0.49374099,0.436924095,0.460625169,0.284334458,0.436174065
04/08/2014,16569.2793,0.004602465,1,0.528197417,0.49374099,0.436924095,0.460625169,0.284334458,0.436174065,0.528197417
05/08/2014,16429.4707,-0.00843782,1,0.392211907,0.436924095,0.460625169,0.284334458,0.436174065,0.528197417,0.392211907
06/08/2014,16443.33984,0.000844162,1,0.489005426,0.460625169,0.284334458,0.436174065,0.528197417,0.392211907,0.489005426
07/08/2014,16368.26953,-0.004565393,1,0.432593997,0.284334458,0.436174065,0.528197417,0.392211907,0.489005426,0.432593997
08/08/2014,16553.92969,0.011342687,1,0.59848518,0.436174065,0.528197417,0.392211907,0.489005426,0.432593997,0.59848518
11/08/2014,16569.98047,0.000969605,1,0.49031356,0.528197417,0.392211907,0.489005426,0.432593997,0.59848518,0.49031356
12/08/2014,16560.53906,-0.00056979,1,0.474260578,0.392211907,0.489005426,0.432593997,0.59848518,0.49031356,0.474260578
13/08/2014,16651.80078,0.005510794,1,0.537669567,0.489005426,0.432593997,0.59848518,0.49031356,0.474260578,0.537669567
14/08/2014,16713.58008,0.003710067,1,0.518891393,0.432593997,0.59848518,0.49031356,0.474260578,0.537669567,0.518891393
15/08/2014,16662.91016,-0.003031662,1,0.448587914,0.59848518,0.49031356,0.474260578,0.537669567,0.518891393,0.448587914
18/08/2014,16838.74023,0.010552183,1,0.590241713,0.49031356,0.474260578,0.537669567,0.518891393,0.448587914,0.590241713
19/08/2014,16919.58984,0.004801405,1,0.53027198,0.474260578,0.537669567,0.518891393,0.448587914,0.590241713,0.53027198
20/08/2014,16979.13086,0.003519058,1,0.516899529,0.537669567,0.518891393,0.448587914,0.590241713,0.53027198,0.516899529
21/08/2014,17039.49023,0.003554915,1,0.517273451,0.518891393,0.448587914,0.590241713,0.53027198,0.516899529,0.517273451
22/08/2014,17001.2207,-0.002245932,1,0.456781592,0.448587914,0.590241713,0.53027198,0.516899529,0.517273451,0.456781592
25/08/2014,17076.86914,0.004449589,1,0.526603203,0.590241713,0.53027198,0.516899529,0.517273451,0.456781592,0.526603203
26/08/2014,17106.69922,0.001746812,1,0.498418355,0.53027198,0.516899529,0.517273451,0.456781592,0.526603203,0.498418355
27/08/2014,17122.00977,0.000895003,1,0.4895356,0.516899529,0.517273451,0.456781592,0.526603203,0.498418355,0.4895356
28/08/2014,17079.57031,-0.002478649,1,0.454354785,0.517273451,0.456781592,0.526603203,0.498418355,0.4895356,0.454354785
29/08/2014,17098.44922,0.00110535,1,0.491729124,0.456781592,0.526603203,0.498418355,0.4895356,0.454354785,0.491729124
02/09/2014,17067.56055,-0.001806519,1,0.461363836,0.526603203,0.498418355,0.4895356,0.454354785,0.491729124,0.461363836
03/09/2014,17078.2793,0.000628019,1,0.486751459,0.498418355,0.4895356,0.454354785,0.491729124,0.461363836,0.486751459
04/09/2014,17069.58008,-0.000509373,1,0.47489061,0.4895356,0.454354785,0.491729124,0.461363836,0.486751459,0.47489061
